time,A,B,C
4/23/2015 8:45,941.7037354,3829.220459,1730.12439
4/23/2015 9:00,944.2630005,3832.367188,1808.405151
4/23/2015 9:15,969.2054443,3828.40332,1827.103516
4/23/2015 9:30,966.5785522,3812.691406,1832.78894
4/23/2015 9:45,962.927063,3736.632568,1843.75769
4/23/2015 10:00,960.3025513,3736.632568,1852.984619
4/23/2015 10:15,902.3113403,3736.632568,1862.502319
4/23/2015 10:30,879.2538452,3733.459961,1872.059937
4/23/2015 10:45,897.3355103,3733.459961,1949.68396
4/23/2015 11:00,893.6057739,3611.34375,1963.0448
4/23/2015 11:15,885.1724243,3499.532471,1966.053223
4/23/2015 11:30,885.1724243,3465.405518,2007.766724
4/23/2015 11:45,897.9628296,3465.405518,2014.082642
4/23/2015 12:00,884.213623,3455.317871,2050.395752
4/23/2015 12:15,852.4039917,3455.317871,2092.803467
4/23/2015 12:30,842.0784912,3337.672852,2092.803467
4/23/2015 12:45,815.6397705,3278.350098,2075.837646
4/23/2015 13:00,814.5689087,3271.542969,1965.27002
4/23/2015 13:15,818.3460083,3246.135254,1948.972412
4/23/2015 13:30,818.3460083,3238.700439,1919.361328
4/23/2015 13:45,838.4058228,3216.975098,1855.263794
4/23/2015 14:00,859.4257202,3200.677979,1818.506226
4/23/2015 14:15,871.5733643,3110.106689,1809.061035
4/23/2015 14:30,888.5298462,3096.849365,1795.014282
4/23/2015 14:45,888.5298462,3096.849365,1717.370117
4/23/2015 15:00,875.4681396,3094.639648,1700.16626
4/23/2015 15:15,878.6571655,3094.639648,1697.656372
4/23/2015 15:30,877.4241943,3098.642334,1703.397949
4/23/2015 15:45,883.2315674,3064.974609,1681.249756
4/23/2015 16:00,885.7113647,3086.782959,1657.406738
4/23/2015 16:15,891.1738892,3050.8396,1650.84436
4/23/2015 16:30,936.4241333,3050.04126,1615.95166
4/23/2015 16:45,920.4696045,3050.04126,1613.49939
4/23/2015 17:00,940.4627686,3064.244629,1575.251709
4/23/2015 17:15,940.4627686,3064.244629,1576.863647
4/23/2015 17:30,940.4627686,3087.911865,1556.032959
4/23/2015 17:45,938.7520752,3102.502441,1554.555908
4/23/2015 18:00,934.9529419,3143.602295,1532.808105
4/23/2015 18:15,926.6159668,3166.86084,1529.519409
4/23/2015 18:30,923.8869629,3183.241211,1494.875122
4/23/2015 18:45,927.3594971,3192.562012,1494.875122
4/23/2015 19:00,927.9939575,3197.074951,1493.272095
4/23/2015 19:15,930.5261841,3208.223145,1450.90918
4/23/2015 19:30,927.9939575,3210.487061,1443.560181
4/23/2015 19:45,938.4028931,3240.461182,1445.443726
4/23/2015 20:00,916.8657837,3240.461182,1432.527344
4/23/2015 20:15,895.7042847,3274.416504,1432.527344
4/23/2015 20:30,877.7593994,3276.70166,1432.527344
4/23/2015 20:45,861.2079468,3288.907715,1396.099487
4/23/2015 21:00,849.1953125,3278.822266,1390.835571
4/23/2015 21:15,817.7909546,3224.865234,1366.891357
4/23/2015 21:30,792.9933472,3174.605957,1331.084961
4/23/2015 21:45,784.6238403,3131.035645,1281.597046
4/23/2015 22:00,781.8549194,3089.171631,1278.516235
4/23/2015 22:15,780.076416,3064.222656,1257.692017
4/23/2015 22:30,763.906189,2930.331299,1180.028809
4/23/2015 22:45,761.8944702,2843.970459,1140.243408
4/23/2015 23:00,735.4973145,2758.193115,1101.607544
4/23/2015 23:15,706.0586548,2692.039551,1084.848145
4/23/2015 23:30,696.239624,2609.594482,1053.225342
4/23/2015 23:45,681.8627319,2565.461426,982.7047729
4/24/2015 0:00,672.2235718,2519.289063,981.2992554
4/24/2015 0:15,664.7396851,2437.629639,963.0397949
4/24/2015 0:30,674.0855103,2357.20752,959.0314941
4/24/2015 0:45,673.4935913,2347.60083,883.8883057
4/24/2015 1:00,673.3320313,2313.75708,860.328186
4/24/2015 1:15,673.3320313,2278.380127,835.8138428
4/24/2015 1:30,665.5713501,2266.420166,829.1593628
4/24/2015 1:45,657.4273682,2193.257324,829.1593628
4/24/2015 2:00,641.5255737,2159.696045,824.5925293
4/24/2015 2:15,641.5255737,2147.688232,808.6192627
